team,city,country
1. FC Köln,Köln,Germany
1. FSV Mainz 05,Mainz,Germany
1899 Hoffenheim,Hoffenheim,Germany
AC Milan,Milano,Italy
ACF Fiorentina,Firenze,Italy
AFC Bournemouth,Bournemouth,United Kingdom
AS Monaco,Monaco,France
AS Nancy,Nancy,France
AS Roma,Rome,Italy
AS Saint-Étienne,Saint-Étienne,France
Angers SCO,Angers,France
Arsenal FC,London,United Kingdom
Atalanta,Bergamo,Italy
Athletic Bilbao,Bilbao,Spain
Atlético Madrid,Madrid,Spain
Bayer Leverkusen,Leverkusen,Germany
Bayern München,München,Germany
Bologna FC,Bologna,Italy
Bor. Mönchengladbach,Mönchengladbach,Germany
Borussia Dortmund,Dortmund,Germany
Burnley FC,Burnley,United Kingdom
CA Osasuna,Pamplona,Spain
CD Alavés,Gasteiz,Spain
CD Leganés,Leganés,Spain
Cagliari Calcio,Cagliari,Italy
Celta Vigo,Vigo,Spain
Chelsea FC,London,United Kingdom
Chievo Verona,Verona,Italy
Crystal Palace,London,United Kingdom
Deportivo La Coruña,A Coruña,Spain
Dijon FCO,Dijon,France
EA Guingamp,Guingamp,France
Eintracht Frankfurt,Frankfurt,Germany
Empoli FC,Empoli,Italy
Espanyol Barcelona,Barcelona,Spain
Everton FC,Liverpool,United Kingdom
FC Augsburg,Augsburg,Germany
FC Barcelona,Barcelona,Spain
FC Crotone,Crotone,Italy
FC Ingolstadt 04,Ingolstadt,Germany
FC Lorient,Lorient,France
FC Metz,Metz,France
FC Nantes,Nantes,France
FC Schalke 04,Gelsenkirchen,Germany
Genoa CFC,Genoa,Italy
Girondins Bordeaux,Bordeaux,France
Granada CF,Granada,Spain
Hamburger SV,Hamburg,Germany
Hertha BSC,Berlin,Germany
Hull City,Hull,United Kingdom
Inter,Milano,Italy
Juventus,Torino,Italy
Lazio Roma,Rome,Italy
Leicester City,Leicester,United Kingdom
Lille OSC,Lille,France
Liverpool FC,Liverpool,United Kingdom
Manchester City,Manchester,United Kingdom
Manchester United,Manchester,United Kingdom
Middlesbrough FC,Middlesbrough,United Kingdom
Montpellier HSC,Montpellier,France
Málaga CF,Málaga,Spain
OGC Nice,Nice,France
Olympique Lyon,Lyon,France
Olympique Marseille,Marseille,France
Paris Saint-Germain,Paris,France
Pescara Calcio,Pescara,Italy
RB Leipzig,Leipzig,Germany
Real Betis,Sevilla,Spain
Real Madrid,Madrid,Spain
Real Sociedad,San Sebastian,Spain
SC Bastia,Bastia,France
SC Freiburg,Freiburg,Germany
SD Eibar,Eibar,Spain
SM Caen,Caen,France
SSC Napoli,Napoli,Italy
SV Darmstadt 98,Darmstadt,Germany
Sampdoria,Genova,Italy
Sassuolo Calcio,Sassuolo,Italy
Sevilla FC,Sevilla,Spain
Southampton FC,Southampton,United Kingdom
Sporting Gijón,Gijón,Spain
Stade Rennais,Rennes,France
Stoke City,Stoke-on-Trent,United Kingdom
Sunderland AFC,Sunderland,United Kingdom
Swansea City,Swansea,United Kingdom
Torino FC,Torino,Italy
Tottenham Hotspur,London,United Kingdom
Toulouse FC,Toulouse,France
UD Las Palmas,Gran Canaria,Spain
US Palermo,Palermo,Italy
Udinese Calcio,Udine,Italy
Valencia CF,Valencia,Spain
VfL Wolfsburg,Wolfsburg,Germany
Villarreal CF,Villa-real,Spain
Watford FC,Watford,United Kingdom
Werder Bremen,Bremen,Germany
West Bromwich Albion,West Bromwich,United Kingdom
West Ham United,London,United Kingdom
Santos,Santos,Brasil
Fenerbahce,Istanbul,Turkey
Galatasaray,Istanbul,Turkey
AL Ahly SC,Cairo,Egypt
Besiktas,Istanbul,Turkey
New York Red Bulls,New York,United States
Los Angeles Galaxy,Los Angeles,United States
Boca Juniors,Buenos Aires,Argentina
River Plate,Buenos Aires,Argentina
